B1,Club Brugge,Charleroi,0,1,A,2021
B1,Antwerp,Mouscron,1,1,D,2021
B1,Standard,Cercle Brugge,1,0,H,2021
B1,St Truiden,Gent,2,1,H,2021
B1,Waregem,Genk,1,2,A,2021
B1,Mechelen,Anderlecht,2,2,D,2021
B1,Kortrijk,Waasland-Beveren,1,3,A,2021
B1,Oud-Heverlee Leuven,Eupen,1,1,D,2021
B1,Oostende,Beerschot VA,1,2,A,2021
B1,Mouscron,Mechelen,0,1,A,2021
B1,Genk,Oud-Heverlee Leuven,1,1,D,2021
B1,Charleroi,Oostende,1,0,H,2021
B1,Gent,Kortrijk,1,2,A,2021
B1,Cercle Brugge,Antwerp,2,1,H,2021
B1,Beerschot VA,Waregem,3,1,H,2021
B1,Eupen,Club Brugge,0,4,A,2021
B1,Anderlecht,St Truiden,3,1,H,2021
B1,Waasland-Beveren,Standard,1,2,A,2021
B1,Kortrijk,Eupen,0,0,D,2021
B1,Waregem,Waasland-Beveren,4,1,H,2021
B1,Mechelen,Cercle Brugge,2,3,A,2021
B1,Oud-Heverlee Leuven,Charleroi,1,3,A,2021
B1,Antwerp,Gent,1,0,H,2021
B1,Standard,Genk,0,0,D,2021
B1,Club Brugge,Beerschot VA,0,1,A,2021
B1,Anderlecht,Mouscron,1,1,D,2021
B1,St Truiden,Oostende,0,0,D,2021
B1,Oostende,Anderlecht,2,2,D,2021
B1,Eupen,St Truiden,1,1,D,2021
B1,Cercle Brugge,Kortrijk,0,1,A,2021
B1,Waasland-Beveren,Oud-Heverlee Leuven,1,3,A,2021
B1,Mouscron,Waregem,0,1,A,2021
B1,Genk,Club Brugge,1,2,A,2021
B1,Beerschot VA,Standard,0,3,A,2021
B1,Charleroi,Antwerp,2,0,H,2021
B1,Gent,Mechelen,1,0,H,2021
B1,Eupen,Gent,2,1,H,2021
B1,Mechelen,Oostende,0,1,A,2021
B1,Oud-Heverlee Leuven,Standard,1,0,H,2021
B1,Club Brugge,Waasland-Beveren,4,1,H,2021
B1,Anderlecht,Cercle Brugge,2,0,H,2021
B1,St Truiden,Antwerp,2,3,A,2021
B1,Waregem,Charleroi,0,2,A,2021
B1,Kortrijk,Mouscron,3,0,H,2021
B1,Beerschot VA,Genk,5,2,H,2021
B1,Charleroi,Beerschot VA,3,1,H,2021
B1,Oostende,Oud-Heverlee Leuven,3,1,H,2021
B1,Mouscron,Gent,0,1,A,2021
B1,Waasland-Beveren,Anderlecht,2,4,A,2021
B1,Waregem,Club Brugge,0,6,A,2021
B1,Standard,Kortrijk,2,1,H,2021
B1,Genk,Mechelen,3,1,H,2021
B1,Antwerp,Eupen,2,2,D,2021
B1,Cercle Brugge,St Truiden,3,0,H,2021
B1,Kortrijk,Antwerp,1,3,A,2021
B1,Beerschot VA,Waasland-Beveren,3,2,H,2021
B1,Mechelen,St Truiden,2,0,H,2021
B1,Gent,Oud-Heverlee Leuven,2,3,A,2021
B1,Standard,Waregem,2,2,D,2021
B1,Anderlecht,Eupen,1,1,D,2021
B1,Club Brugge,Cercle Brugge,2,1,H,2021
B1,Mouscron,Charleroi,1,1,D,2021
B1,Genk,Oostende,2,2,D,2021
B1,Antwerp,Mechelen,4,1,H,2021
B1,Waasland-Beveren,Genk,1,1,D,2021
B1,Eupen,Cercle Brugge,1,2,A,2021
B1,Oud-Heverlee Leuven,Waregem,2,1,H,2021
B1,St Truiden,Kortrijk,0,0,D,2021
B1,Club Brugge,Anderlecht,3,0,H,2021
B1,Gent,Beerschot VA,5,1,H,2021
B1,Charleroi,Standard,1,2,A,2021
B1,Oostende,Mouscron,3,0,H,2021
B1,Cercle Brugge,Gent,5,2,H,2021
B1,Beerschot VA,St Truiden,6,3,H,2021
B1,Mechelen,Kortrijk,1,2,A,2021
B1,Standard,Club Brugge,1,1,D,2021
B1,Waregem,Antwerp,1,3,A,2021
B1,Mouscron,Eupen,0,2,A,2021
B1,Genk,Charleroi,2,1,H,2021
B1,Anderlecht,Oud-Heverlee Leuven,2,2,D,2021
B1,Kortrijk,Anderlecht,1,3,A,2021
B1,Oud-Heverlee Leuven,Club Brugge,2,1,H,2021
B1,Antwerp,Beerschot VA,3,2,H,2021
B1,Oostende,Waregem,3,0,H,2021
B1,St Truiden,Standard,2,0,H,2021
B1,Gent,Genk,1,2,A,2021
B1,Genk,Eupen,4,0,H,2021
B1,Beerschot VA,Oud-Heverlee Leuven,4,2,H,2021
B1,Charleroi,Cercle Brugge,3,0,H,2021
B1,Club Brugge,Mechelen,2,2,D,2021
B1,Anderlecht,Antwerp,1,0,H,2021
B1,Standard,Oostende,1,0,H,2021
B1,Waasland-Beveren,Gent,1,4,A,2021
B1,Waregem,Kortrijk,1,1,D,2021
B1,Mechelen,Charleroi,3,3,D,2021
B1,Kortrijk,Beerschot VA,5,5,D,2021
B1,Eupen,Waasland-Beveren,1,1,D,2021
B1,St Truiden,Genk,1,2,A,2021
B1,Antwerp,Standard,1,1,D,2021
B1,Oostende,Club Brugge,1,3,A,2021
B1,Gent,Anderlecht,1,1,D,2021
B1,Cercle Brugge,Waregem,1,3,A,2021
B1,Standard,Eupen,2,2,D,2021
B1,Oostende,Antwerp,1,1,D,2021
B1,Waasland-Beveren,Cercle Brugge,0,2,A,2021
B1,Club Brugge,Kortrijk,1,0,H,2021
B1,Beerschot VA,Anderlecht,2,1,H,2021
B1,Waregem,Mechelen,1,2,A,2021
B1,Charleroi,Gent,0,1,A,2021
B1,Genk,Mouscron,4,1,H,2021
B1,Oud-Heverlee Leuven,St Truiden,2,2,D,2021
B1,Waasland-Beveren,Oostende,2,0,H,2021
B1,Cercle Brugge,Mouscron,1,2,A,2021
B1,Eupen,Charleroi,3,1,H,2021
B1,St Truiden,Waasland-Beveren,1,1,D,2021
B1,Cercle Brugge,Genk,1,5,A,2021
B1,Mouscron,Club Brugge,0,0,D,2021
B1,Mechelen,Beerschot VA,2,3,A,2021
B1,Gent,Waregem,0,3,A,2021
B1,Anderlecht,Standard,0,0,D,2021
B1,Kortrijk,Oostende,3,1,H,2021
B1,Antwerp,Oud-Heverlee Leuven,3,2,H,2021
B1,Mouscron,St Truiden,3,2,H,2021
B1,Charleroi,Waasland-Beveren,0,2,A,2021
B1,Eupen,Mechelen,1,1,D,2021
B1,Waregem,Anderlecht,2,2,D,2021
B1,Waasland-Beveren,Mouscron,2,0,H,2021
B1,Oud-Heverlee Leuven,Cercle Brugge,2,1,H,2021
B1,Club Brugge,St Truiden,1,0,H,2021
B1,Genk,Antwerp,4,2,H,2021
B1,Beerschot VA,Eupen,0,1,A,2021
B1,Standard,Mechelen,2,2,D,2021
B1,Oostende,Gent,2,1,H,2021
B1,Charleroi,Kortrijk,0,0,D,2021
B1,Oud-Heverlee Leuven,Mouscron,2,0,H,2021
B1,Anderlecht,Genk,1,0,H,2021
B1,Mouscron,Beerschot VA,3,1,H,2021
B1,Cercle Brugge,Oostende,0,1,A,2021
